Net Demand 09/05/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,30778,30778,30778,30778,30437,30437,30437,29908,29908,29908,29454,29454,29454,29002,29002,29002,28547,28547,28547,28127,28127,28127,27833,27833,27833,27538,27538,27538,27200,27200,27200,26947,26947,26947,26539,26539,26539,26301,26301,26301,26152,26152,26152,25997,25997,25997,25859,25859,25859,25924,25924,25924,25919,25919,25919,25876,25876,25876,25902,25902,25902,26227,26227,26227,26474,26474,26474,26732,26732,26732,27090,27090,27090,27774,27774,27774,28169,28169,28169,28381,28381,28381,28566,28566,28566,28819,28819,28819,29040,29040,29040,29215,29215,29215,29379,29379,29379,29690,29690,29690,29766,29766,29766,29857,29857,29857,30152,30152,30152,30475,30475,30475,30709,30709,30709,30964,30964,30964,31018,31018,31018,31235,31235,31235,31487,31487,31487,31779,31779,31779,32231,32231,32231,32724,32724,32724,33113,33113,33113,33767,33767,33767,34467,34467,34467,35051,35051,35051,35594,35594,35594,36387,36387,36387,36870,36870,36870,37692,37692,37692,38429,38429,38429,39111,39111,39111,39953,39953,39953,40657,40657,40657,41428,41428,41428,42116,42116,42116,42982,42982,42982,43504,43504,43504,44232,44232,44232,44853,44853,44853,45370,45370,45370,45509,45509,45509,46030,46030,46030,46440,46440,46440,46868,46868,46868,47151,47151,47151,47447,47447,47447,47679,47679,47679,47491,47491,47491,47108,47108,47108,47093,47093,47093,47038,47038,47038,46512,46512,46512,46034,46034,46034,45570,45570,45570,45087,45087,45087,44516,44516,44516,43842,43842,43842,43468,43468,43468,42963,42963,42963,42291,42291,42291,42080,42080,42080,41545,41545,41545,40865,40865,40865,39992,39992,39992,38914,38914,38914,37993,37993,37993,37136,37136,37136,36240,36240,36240,35446,35446,35446,34633,34633,34633,33963,33963,33963,33326,33326,33326
Demand,30726,30822,30961,30773,30613,30439,30263,30047,29893,29694,29515,29320,29147,29112,29121,28963,28840,28690,28545,28387,28246,28125,28032,27893,27774,27547,27337,27208,27044,27036,26948,26874,26808,26690,26569,26473,26367,26326,26362,26300,26211,26150,26063,26009,25972,25891,25792,25747,25709,25752,25820,25835,25803,25839,25806,25844,25842,25877,25896,25886,25906,26238,26423,26473,26625,26587,26586,26675,26796,26838,26924,26979,27125,27490,27834,27881,28006,28042,28107,28189,28262,28300,28367,28459,28601,28884,29013,29091,29231,29278,29274,29336,29422,29488,29531,29430,29550,29830,30098,30158,30196,30225,30223,30233,30311,30421,30467,30539,30673,30627,30758,30738,30769,30885,30788,30907,31010,31048,31114,31246,31341,31393,31565,31640,31842,31853,31931,31975,32155,32262,32456,32604,32778,33069,33079,33279,33461,33603,33752,33871,34138,34349,34561,34779,34990,34906,35206,35515,35722,35897,36107,36301,36522,36765,36946,37180,37405,37620,38019,38340,38562,38835,39041,39327,39577,39852,40046,40378,40587,40728,40974,41205,41397,41567,41781,42057,42279,42590,42912,43108,43317,43433,43667,43943,44210,44393,44678,44872,45019,45238,45476,45602,45641,45480,45575,45728,45941,46198,46434,46517,46647,46826,47078,47161,47345,47030,46954,46869,47088,47168,47360,47452,47567,47644,47675,47753,47714,47216,47066,47115,47143,47048,47019,46928,46836,46715,46588,46403,46166,45816,45495,45316,45166,45087,45013,44911,44805,44734,44570,44438,44224,44160,44074,43996,43970,43780,43586,43403,43196,42974,42736,42487,42230,42167,42064,41825,41624,41439,41216,40944,40655,40397,40053,39794,39473,39072,38872,38505,38315,37982,37690,37367,37105,36803,36501,36232,35906,35634,35385,35102,34853,34635,34359,34102,33827,33588,33249,33084,32822
Day-ahead net forecast,30208,28254,28254,28254,28254,28254,28254,28254,28254,28254,28254,28254,28254,26786,26786,26786,26786,26786,26786,26786,26786,26786,26786,26786,26786,25682,25682,25682,25682,25682,25682,25682,25682,25682,25682,25682,25682,25158,25158,25158,25158,25158,25158,25158,25158,25158,25158,25158,25158,25291,25291,25291,25291,25291,25291,25291,25291,25291,25291,25291,25291,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,27386,27386,27386,27386,27386,27386,27386,27386,27386,27386,27386,27386,23145,23145,23145,23145,23145,23145,23145,23145,23145,23145,23145,23145,16851,16851,16851,16851,16851,16851,16851,16851,16851,16851,16851,16851,14790,14790,14790,14790,14790,14790,14790,14790,14790,14790,14790,14790,15329,15329,15329,15329,15329,15329,15329,15329,15329,15329,15329,15329,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,19757,19757,19757,19757,19757,19757,19757,19757,19757,19757,19757,19757,22635,22635,22635,22635,22635,22635,22635,22635,22635,22635,22635,22635,25318,25318,25318,25318,25318,25318,25318,25318,25318,25318,25318,25318,28147,28147,28147,28147,28147,28147,28147,28147,28147,28147,28147,28147,30814,30814,30814,30814,30814,30814,30814,30814,30814,30814,30814,30814,36744,36744,36744,36744,36744,36744,36744,36744,36744,36744,36744,36744,43344,43344,43344,43344,43344,43344,43344,43344,43344,43344,43344,43344,44262,44262,44262,44262,44262,44262,44262,44262,44262,44262,44262,44262,42057,42057,42057,42057,42057,42057,42057,42057,42057,42057,42057,42057,39711,39711,39711,39711,39711,39711,39711,39711,39711,39711,39711,39711,36104,36104,36104,36104,36104,36104,36104,36104,36104,36104,36104,36104,32760,32760,32760,32760,32760,32760,32760,32760,32760,32760,32760,32760
Net demand,27893,27789,28027,27922,27765,27655,27483,27287,27099,26941,26719,26559,26360,26308,26362,26266,26181,26046,25908,25783,25641,25546,25414,25357,25204,25041,24846,24739,24623,24616,24579,24537,24494,24414,24348,24251,24145,24023,24083,24007,23909,23873,23803,23748,23686,23660,23565,23511,23507,23541,23706,23733,23719,23780,23775,23825,23857,23869,23926,23921,23917,24121,24392,24503,24655,24707,24696,24762,24908,24996,25068,25187,25314,25573,26020,26179,26294,26401,26524,26565,26624,26477,26294,26102,25853,25608,25263,24797,24395,23798,23228,22622,22072,21373,20653,19858,19175,18642,18450,17793,17264,16829,16407,16041,15830,15689,15535,15463,15551,15472,15302,15335,15171,15115,14963,14588,14623,14551,14513,14658,14706,14647,14812,14865,14983,14994,14986,14951,15059,15164,15299,15485,15681,16045,16132,16342,16746,16812,16981,17019,17202,17368,17594,17791,18082,18019,18277,18539,18709,18830,18989,19134,19364,19612,19823,20174,20374,20717,21094,21403,21642,21877,22137,22227,22311,22542,22805,23201,23529,23610,23823,24191,24372,24617,24816,25063,25325,25608,26009,26327,26501,26536,26735,27097,27252,27486,27720,27934,28138,28427,28723,29067,29286,29281,29379,29607,29740,29979,30347,30631,30756,31063,31450,31819,32249,32416,32437,32813,33315,33839,34484,35232,35936,36708,37412,38226,38968,39352,39583,40258,40870,41464,41964,42316,42627,42842,42967,43063,43000,42814,42485,42308,42133,41930,41859,41755,41609,41516,41285,41121,40916,40790,40610,40566,40547,40497,40325,40141,39995,39789,39639,39425,39155,39020,39003,38754,38463,38243,38036,37783,37528,37278,36936,36627,36339,35908,35652,35334,35062,34804,34520,34256,34018,33752,33464,33180,32889,32618,32401,32131,31889,31646,31450,31148,30890,30669,30276,30063,29825
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
