Demand 01/07/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,22105,21616,21616,21616,21616,21616,21616,21616,21616,21616,21616,21616,21616,20879,20879,20879,20879,20879,20879,20879,20879,20879,20879,20879,20879,20323,20323,20323,20323,20323,20323,20323,20323,20323,20323,20323,20323,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20239,20239,20239,20239,20239,20239,20239,20239,20239,20239,20239,20239,20732,20732,20732,20732,20732,20732,20732,20732,20732,20732,20732,20732,21748,21748,21748,21748,21748,21748,21748,21748,21748,21748,21748,21748,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,16682,16682,16682,16682,16682,16682,16682,16682,16682,16682,16682,16682,16740,16740,16740,16740,16740,16740,16740,16740,16740,16740,16740,16740,17671,17671,17671,17671,17671,17671,17671,17671,17671,17671,17671,17671,19277,19277,19277,19277,19277,19277,19277,19277,19277,19277,19277,19277,21773,21773,21773,21773,21773,21773,21773,21773,21773,21773,21773,21773,24829,24829,24829,24829,24829,24829,24829,24829,24829,24829,24829,24829,25470,25470,25470,25470,25470,25470,25470,25470,25470,25470,25470,25470,25331,25331,25331,25331,25331,25331,25331,25331,25331,25331,25331,25331,25021,25021,25021,25021,25021,25021,25021,25021,25021,25021,25021,25021,24563,24563,24563,24563,24563,24563,24563,24563,24563,24563,24563,24563,23357,23357,23357,23357,23357,23357,23357,23357,23357,23357,23357,23357,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105
Hour-ahead forecast,22033,22033,22033,22033,21945,21945,21945,21585,21585,21585,21294,21294,21294,21101,21101,21101,20918,20918,20918,20786,20786,20786,20644,20644,20644,20482,20482,20482,20364,20364,20364,20231,20231,20231,20119,20119,20119,20058,20058,20058,20008,20008,20008,19910,19910,19910,19811,19811,19811,19976,19976,19976,20038,20038,20038,19887,19887,19887,19920,19920,19920,20084,20084,20084,20209,20209,20209,20314,20314,20314,20410,20410,20410,20779,20779,20779,21017,21017,21017,21222,21222,21222,21405,21405,21405,21457,21457,21457,21418,21418,21418,21456,21456,21456,21258,21258,21258,21154,21154,21154,20853,20853,20853,20239,20239,20239,20123,20123,20123,19738,19738,19738,19372,19372,19372,18887,18887,18887,18311,18311,18311,17867,17867,17867,17551,17551,17551,17026,17026,17026,16638,16638,16638,16478,16478,16478,16296,16296,16296,16187,16187,16187,15920,15920,15920,15890,15890,15890,15817,15817,15817,15670,15670,15670,15683,15683,15683,15637,15637,15637,15754,15754,15754,15985,15985,15985,16353,16353,16353,16772,16772,16772,17132,17132,17132,17535,17535,17535,18057,18057,18057,18606,18606,18606,19177,19177,19177,20063,20063,20063,20912,20912,20912,21618,21618,21618,22309,22309,22309,23168,23168,23168,24198,24198,24198,25151,25151,25151,25916,25916,25916,26537,26537,26537,26630,26630,26630,26560,26560,26560,26455,26455,26455,26272,26272,26272,26405,26405,26405,26523,26523,26523,26524,26524,26524,26456,26456,26456,26373,26373,26373,26276,26276,26276,26308,26308,26308,26158,26158,26158,25961,25961,25961,25891,25891,25891,25733,25733,25733,25514,25514,25514,25129,25129,25129,24702,24702,24702,24348,24348,24348,23954,23954,23954,23701,23701,23701,23340,23340,23340,23034,23034,23034,22760,22760,22760,22551,22551,22551
Demand,21831,21880,21915,21811,21798,21712,21629,21550,21487,21451,21409,21323,21232,21182,21236,21100,21094,20973,20866,20811,20771,20776,20688,20620,20520,20491,20533,20386,20338,20314,20213,20172,20143,20119,20040,20010,19999,20012,19968,19939,19907,19940,19892,19903,19837,19771,19768,19720,19687,19714,19821,19805,19782,19732,19755,19787,19812,19834,19841,19851,19858,19973,20046,20096,20123,20158,20164,20216,20266,20332,20404,20448,20509,20631,20761,20850,20918,20994,21062,21125,21194,21214,21337,21357,21384,21530,21617,21579,21538,21528,21537,21536,21519,21444,21331,21252,21154,21206,21136,21058,20923,20740,20654,20606,20566,20399,20322,20092,19944,19790,19694,19508,19367,19197,19054,18962,18758,18604,18435,18262,18081,17956,17821,17693,17684,17555,17427,17298,17181,17117,16938,16857,16783,16732,16551,16528,16475,16411,16344,16265,16186,16114,16088,16012,16011,15953,15878,15885,15889,15803,15733,15693,15697,15675,15587,15604,15715,15723,15803,15805,15870,16070,16084,16175,16287,16377,16376,16547,16636,16718,16885,16995,17103,17230,17359,17526,17732,17921,18102,18313,18486,18621,18877,19066,19318,19537,19751,20027,20323,20605,20900,21137,21337,21464,21673,21898,22146,22495,22841,23112,23451,23772,24092,24390,24693,25006,25256,25491,25712,25931,26094,26248,26336,26388,26439,26489,26500,26465,26478,26484,26514,26530,26577,26563,26555,26560,26564,26570,26569,26530,26543,26549,26555,26583,26612,26600,26629,26630,26594,26584,26532,26508,26452,26418,26388,26362,26294,26262,26207,26172,26077,26036,25967,25996,25974,25883,25790,25728,25604,25505,25378,25272,25117,25063,24943,24790,24765,24689,24591,24479,24319,24165,24038,23918,23793,23693,23571,23421,23309,23226,23141,23021,22917,22829,22730,22644,22550,22467,
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
