Net Demand 09/09/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,30580,30580,30580,30580,30241,30241,30241,29743,29743,29743,29327,29327,29327,28899,28899,28899,28506,28506,28506,28122,28122,28122,27835,27835,27835,27515,27515,27515,27135,27135,27135,26884,26884,26884,26562,26562,26562,26293,26293,26293,26109,26109,26109,25968,25968,25968,25763,25763,25763,25816,25816,25816,25894,25894,25894,25924,25924,25924,26084,26084,26084,26492,26492,26492,26836,26836,26836,27113,27113,27113,27477,27477,27477,28290,28290,28290,28760,28760,28760,29025,29025,29025,29209,29209,29209,29622,29622,29622,29837,29837,29837,30053,30053,30053,30226,30226,30226,30457,30457,30457,30596,30596,30596,30772,30772,30772,31079,31079,31079,31326,31326,31326,31581,31581,31581,31742,31742,31742,32107,32107,32107,32335,32335,32335,32651,32651,32651,32914,32914,32914,33312,33312,33312,33749,33749,33749,34173,34173,34173,34664,34664,34664,35153,35153,35153,35679,35679,35679,36122,36122,36122,36700,36700,36700,37105,37105,37105,37758,37758,37758,38230,38230,38230,38794,38794,38794,39451,39451,39451,39837,39837,39837,40553,40553,40553,41120,41120,41120,41575,41575,41575,42090,42090,42090,42593,42593,42593,43206,43206,43206,43675,43675,43675,43698,43698,43698,44089,44089,44089,44584,44584,44584,45115,45115,45115,45078,45078,45078,45111,45111,45111,45333,45333,45333,45316,45316,45316,44990,44990,44990,44752,44752,44752,44458,44458,44458,44036,44036,44036,43676,43676,43676,43259,43259,43259,42875,42875,42875,42243,42243,42243,41679,41679,41679,41161,41161,41161,40585,40585,40585,39943,39943,39943,39537,39537,39537,39175,39175,39175,38418,38418,38418,37670,37670,37670,36750,36750,36750,35859,35859,35859,35099,35099,35099,34125,34125,34125,33238,33238,33238,32474,32474,32474,31777,31777,31777,31249,31249,31249
Demand,30703,30749,30978,30695,30551,30393,30205,30042,29921,29654,29531,29339,29114,29073,29100,28949,28898,28713,28523,28376,28203,28052,27942,27897,27755,27665,27344,27265,27181,26983,26855,26816,26691,26639,26549,26406,26351,26232,26212,26140,26074,25917,25958,25926,25885,25854,25804,25729,25697,25842,25936,26008,25992,26026,26032,26060,26090,26121,26071,26176,26290,26429,26757,26848,26924,27053,27107,27147,27308,27367,27432,27581,27668,28052,28302,28508,28631,28741,28759,28805,28864,28955,29030,29146,29214,29537,29733,29811,30016,29994,29949,30060,30202,30154,30276,30275,30291,30725,30889,30939,30995,31121,31155,31259,31378,31421,31423,31535,31704,31948,31835,31866,32071,32009,32087,32172,32125,32220,32327,32361,32525,32620,32591,32844,32978,32968,33152,33195,33228,33447,33563,33659,33930,33947,34016,34136,34195,34397,34593,34615,34882,35010,35119,35375,35548,35700,35841,36080,36270,36329,36420,36574,36740,36891,36965,37246,37447,37614,37910,37928,38129,38303,38461,38792,39056,39246,39462,39615,39706,39717,40127,40164,40423,40557,40744,40892,41083,41263,41562,41796,41969,42095,42269,42491,42732,42909,43149,43177,43426,43550,43823,43889,44051,43902,43793,43932,44190,44278,44437,44569,44625,44846,44893,45101,45249,44964,44688,44925,44959,45109,45279,45215,45270,45285,45339,45307,45378,44850,44628,44624,44657,44620,44617,44441,44301,44234,44091,44038,43923,43599,43445,43220,43075,43020,42858,42796,42676,42462,42337,42180,41965,41781,41624,41429,41263,41119,40956,40820,40725,40444,40197,39990,39716,39669,39722,39439,39287,39124,38772,38599,38266,38032,37869,37519,37293,36889,36521,36258,35954,35599,35393,35051,34710,34500,34101,33829,33608,33401,33191,33020,32895,32525,32282,32058,31695,31620,31345,31085,30880
Day-ahead net forecast,30537,28984,28984,28984,28984,28984,28984,28984,28984,28984,28984,28984,28984,27345,27345,27345,27345,27345,27345,27345,27345,27345,27345,27345,27345,26055,26055,26055,26055,26055,26055,26055,26055,26055,26055,26055,26055,25078,25078,25078,25078,25078,25078,25078,25078,25078,25078,25078,25078,24979,24979,24979,24979,24979,24979,24979,24979,24979,24979,24979,24979,25979,25979,25979,25979,25979,25979,25979,25979,25979,25979,25979,25979,27168,27168,27168,27168,27168,27168,27168,27168,27168,27168,27168,27168,23580,23580,23580,23580,23580,23580,23580,23580,23580,23580,23580,23580,17439,17439,17439,17439,17439,17439,17439,17439,17439,17439,17439,17439,15409,15409,15409,15409,15409,15409,15409,15409,15409,15409,15409,15409,15763,15763,15763,15763,15763,15763,15763,15763,15763,15763,15763,15763,17207,17207,17207,17207,17207,17207,17207,17207,17207,17207,17207,17207,19542,19542,19542,19542,19542,19542,19542,19542,19542,19542,19542,19542,22098,22098,22098,22098,22098,22098,22098,22098,22098,22098,22098,22098,24552,24552,24552,24552,24552,24552,24552,24552,24552,24552,24552,24552,27197,27197,27197,27197,27197,27197,27197,27197,27197,27197,27197,27197,29575,29575,29575,29575,29575,29575,29575,29575,29575,29575,29575,29575,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,40342,40342,40342,40342,40342,40342,40342,40342,40342,40342,40342,40342,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,36966,36966,36966,36966,36966,36966,36966,36966,36966,36966,36966,36966,33841,33841,33841,33841,33841,33841,33841,33841,33841,33841,33841,33841,30763,30763,30763,30763,30763,30763,30763,30763,30763,30763,30763,30763
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,28908,28841,29093,28948,28822,28654,28488,28324,28165,28031,27864,27694,27470,27327,27489,27369,27288,27119,27040,26828,26623,26487,26356,26238,26178,26047,25685,25595,25423,25348,25156,25099,24956,24915,24799,24755,24707,24563,24587,24580,24583,24434,24521,24528,24487,24456,24384,24317,24266,24289,24494,24523,24481,24531,24471,24612,24587,24676,24622,24686,24752,24955,25320,25376,25553,25611,25624,25728,25887,25854,26036,26138,26234,26525,26919,27127,27294,27363,27418,27486,27505,27458,27380,27221,26875,26635,26286,25916,25549,24854,24241,23468,22698,22036,21303,20468,19806,19248,18764,18232,17676,17268,17036,16561,16398,16213,15865,15789,15620,15712,15566,15489,15555,15508,15557,15383,15382,15335,15310,15381,15447,15452,15491,15581,15663,15730,15806,15814,15863,15975,16000,16148,16234,16324,16397,16416,16441,16594,16723,16905,17052,17134,17411,17620,17766,18191,18461,18707,18918,19078,19204,19557,19773,19760,19848,19845,20088,20862,20674,20788,21085,21021,21316,21616,21823,22073,22328,22286,22472,22465,22537,22832,23183,23353,23521,23607,23619,23730,23872,24211,24505,24559,24586,24860,24921,25204,25478,25575,25759,26288,26538,26721,27127,27165,27141,27246,27413,27660,28028,28147,28483,28709,28960,29264,29591,30003,29836,30369,30933,31511,32141,32754,33436,34175,34882,35744,36509,36916,37234,37850,38483,39118,39511,39941,40304,40410,40563,40677,40599,40524,40206,40046,39974,39838,39630,39541,39365,39240,39082,38907,38824,38548,38414,38218,38067,37976,37772,37729,37540,37337,37180,36891,36754,36587,36598,36428,36347,36046,35845,35576,35136,34981,34728,34450,34348,33873,33586,33323,32936,32744,32492,32110,31929,31647,31303,31017,30795,30603,30365,30227,30021,29759,29615,29300,29063,28921,28639,28451,28308
