Net Demand 09/08/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,30955,30955,30955,30955,30624,30624,30624,30100,30100,30100,29622,29622,29622,29171,29171,29171,28750,28750,28750,28317,28317,28317,27977,27977,27977,27617,27617,27617,27331,27331,27331,26986,26986,26986,26556,26556,26556,26296,26296,26296,25992,25992,25992,25724,25724,25724,25477,25477,25477,25313,25313,25313,25168,25168,25168,25114,25114,25114,25031,25031,25031,25016,25016,25016,24957,24957,24957,24988,24988,24988,25028,25028,25028,25284,25284,25284,25063,25063,25063,24977,24977,24977,24801,24801,24801,24984,24984,24984,24903,24903,24903,24944,24944,24944,24987,24987,24987,25273,25273,25273,25353,25353,25353,25461,25461,25461,25907,25907,25907,26233,26233,26233,26351,26351,26351,26359,26359,26359,26657,26657,26657,27121,27121,27121,27613,27613,27613,27919,27919,27919,28391,28391,28391,28964,28964,28964,29359,29359,29359,30031,30031,30031,30878,30878,30878,31240,31240,31240,31839,31839,31839,32548,32548,32548,33187,33187,33187,33727,33727,33727,34518,34518,34518,35244,35244,35244,36427,36427,36427,36846,36846,36846,37752,37752,37752,38282,38282,38282,39009,39009,39009,39404,39404,39404,39949,39949,39949,40234,40234,40234,40750,40750,40750,40689,40689,40689,40972,40972,40972,41501,41501,41501,41666,41666,41666,41695,41695,41695,42053,42053,42053,42420,42420,42420,42706,42706,42706,42516,42516,42516,42284,42284,42284,42272,42272,42272,42287,42287,42287,42196,42196,42196,42022,42022,42022,41778,41778,41778,41312,41312,41312,40802,40802,40802,40473,40473,40473,40005,40005,40005,39488,39488,39488,39044,39044,39044,38664,38664,38664,38109,38109,38109,37390,37390,37390,36458,36458,36458,35544,35544,35544,34651,34651,34651,33819,33819,33819,33081,33081,33081,32385,32385,32385,31728,31728,31728,31052,31052,31052
Demand,30980,31130,31202,30894,30890,30711,30507,30376,30156,29995,29762,29583,29414,29365,29323,29164,28984,28910,28660,28712,28502,28362,28277,28097,27825,27684,27496,27321,27264,27081,26983,26847,26704,26604,26519,26340,26313,26275,26111,26087,25930,25869,25819,25674,25655,25593,25567,25561,25469,25421,25367,25404,25327,25241,25271,25155,25087,25118,25043,24987,25057,25018,25188,25183,25084,25097,25094,24824,24926,24837,24867,24843,24817,24943,25056,25017,25110,25043,25025,24947,24860,24803,24876,24683,24640,24766,25024,25002,25066,25037,25030,25032,25152,25115,25145,25219,25165,25539,25818,25959,25943,26028,25946,26065,25994,26000,26062,26066,26096,26525,26319,26455,26586,26764,26993,26945,27047,27199,27148,27347,27337,27450,27614,27922,28025,28062,28172,28317,28361,28591,28751,29041,29210,29502,29588,29822,29880,29918,30149,30271,30403,30706,30904,31076,31396,31604,31821,31902,32083,32310,32435,32683,32924,33030,33294,33429,33724,34343,34486,34809,34974,35117,35334,35396,36138,36491,36210,36585,36633,36994,37079,37259,37468,37658,37888,38050,38325,38411,38597,38664,38844,39058,39140,39385,39444,39576,39734,39830,39946,40162,40274,40570,40611,40397,40334,40442,40543,40683,40901,41154,41365,41446,41711,41785,41921,41854,41780,41992,42147,41992,42172,42337,42386,42486,42574,42731,42819,42771,42833,42854,42931,42996,42971,43002,43022,42932,42965,42825,42744,42616,42412,42285,42174,42089,42138,41973,41860,41771,41593,41515,41346,41154,41024,40861,40622,40463,40328,40133,40013,39849,39709,39475,39275,39231,39095,39007,38797,38566,38388,38057,37795,37563,37219,36984,36692,36358,36261,35890,35699,35432,35188,34849,34728,34330,34047,33899,33488,33198,33042,32767,32448,32263,31982,31746,31493,31309,31049,30911,30703
Day-ahead net forecast,31343,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,27518,27518,27518,27518,27518,27518,27518,27518,27518,27518,27518,27518,25918,25918,25918,25918,25918,25918,25918,25918,25918,25918,25918,25918,24838,24838,24838,24838,24838,24838,24838,24838,24838,24838,24838,24838,24252,24252,24252,24252,24252,24252,24252,24252,24252,24252,24252,24252,24229,24229,24229,24229,24229,24229,24229,24229,24229,24229,24229,24229,23889,23889,23889,23889,23889,23889,23889,23889,23889,23889,23889,23889,19369,19369,19369,19369,19369,19369,19369,19369,19369,19369,19369,19369,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,11682,11682,11682,11682,11682,11682,11682,11682,11682,11682,11682,11682,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,15882,15882,15882,15882,15882,15882,15882,15882,15882,15882,15882,15882,18689,18689,18689,18689,18689,18689,18689,18689,18689,18689,18689,18689,21144,21144,21144,21144,21144,21144,21144,21144,21144,21144,21144,21144,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,26751,26751,26751,26751,26751,26751,26751,26751,26751,26751,26751,26751,32031,32031,32031,32031,32031,32031,32031,32031,32031,32031,32031,32031,37852,37852,37852,37852,37852,37852,37852,37852,37852,37852,37852,37852,38990,38990,38990,38990,38990,38990,38990,38990,38990,38990,38990,38990,37478,37478,37478,37478,37478,37478,37478,37478,37478,37478,37478,37478,35644,35644,35644,35644,35644,35644,35644,35644,35644,35644,35644,35644,33187,33187,33187,33187,33187,33187,33187,33187,33187,33187,33187,33187,30537,30537,30537,30537,30537,30537,30537,30537,30537,30537,30537,30537
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,29364,29409,29566,29477,29383,29206,29090,28877,28611,28463,28180,27937,27740,27603,27582,27485,27323,27213,27097,27047,26798,26809,26619,26525,26372,26127,25966,25864,25711,25578,25524,25313,25204,25102,24910,24838,24740,24646,24572,24479,24289,24219,24050,23984,23892,23747,23734,23706,23628,23531,23441,23461,23291,23321,23241,23183,23169,23166,23038,23104,23064,23022,23335,23235,23231,23168,23097,22996,22926,22899,23002,22918,22892,22981,23034,23170,23225,23152,23151,23046,22870,22779,22777,22467,22170,21868,21744,21362,21034,20436,19866,19297,18722,18155,17696,16998,16585,16263,16090,15903,15470,15045,14731,14473,14074,13987,13732,13427,13197,13193,13203,13014,12978,13227,13406,13355,13323,13339,13270,13328,13417,13228,13212,13382,13727,13712,13788,13932,13918,13990,13853,14056,14362,14483,14651,14892,14645,14658,14843,15010,15350,15475,15806,15942,15992,16253,16177,16292,16179,16120,16387,16543,16452,16430,16536,16744,16977,17276,17449,17658,17923,17979,18165,18177,18641,19402,19828,20014,20011,20246,20384,20612,20878,20996,21225,21430,21610,21905,22122,21998,22092,22316,22511,22697,22685,22886,23023,23099,23296,23706,23891,24298,24366,24448,24550,24906,25283,25655,26041,26486,26917,27455,27857,28220,28545,28736,28715,29488,30221,30676,31332,32087,32716,33171,33830,34567,35285,35917,36362,37095,37743,38156,38626,39107,39383,39803,40091,40175,40206,40193,39986,39735,39544,39398,39343,39234,39148,39012,38762,38699,38508,38353,38227,37993,37869,37696,37565,37412,37303,37187,37053,36836,36654,36525,36559,36481,36233,36143,35953,35700,35527,35243,34951,34680,34430,34119,33924,33734,33532,33319,33092,32889,32690,32487,32153,31998,31721,31400,31266,30980,30774,30529,30265,30042,29771,29610,29328,29176,28908
